timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650875564581,91,HomePage,200,OK,Task03 1-1,text,true,,327474,11345,1,1,http://localhost/blog/,53,0,1
1650875564581,53,HomePage-0,200,OK,Task03 1-1,text,true,,31742,501,1,1,http://localhost/blog/,53,0,1
1650875564635,3,HomePage-1,200,OK,Task03 1-1,text,true,,5350,524,1,1,http://localhost/blog/Content/Auto/Global.css,3,0,0
1650875564635,35,HomePage-2,200,OK,Task03 1-1,text,true,,8896,540,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",35,0,24
1650875564635,4,HomePage-3,200,OK,Task03 1-1,text,true,,25637,538,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,4,0,1
1650875564636,4,HomePage-4,200,OK,Task03 1-1,bin,true,,3929,535,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,4,0,0
1650875564636,6,HomePage-5,200,OK,Task03 1-1,text,true,,6324,544,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,6,0,0
1650875564637,5,HomePage-6,200,OK,Task03 1-1,text,true,,2888,552,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,5,0,0
1650875564638,11,HomePage-7,200,OK,Task03 1-1,text,true,,1421,514,1,1,http://localhost/blog/en-us.res.axd,11,0,0
1650875564639,11,HomePage-8,200,OK,Task03 1-1,text,true,,92939,536,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,10,0,0
1650875564641,9,HomePage-9,200,OK,Task03 1-1,text,true,,2534,533,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,9,0,0
1650875564642,9,HomePage-10,200,OK,Task03 1-1,text,true,,10011,537,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,9,0,1
1650875564643,10,HomePage-11,200,OK,Task03 1-1,text,true,,3070,529,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,10,0,4
1650875564649,4,HomePage-12,200,OK,Task03 1-1,text,true,,24755,521,1,1,http://localhost/blog/Scripts/Auto/blog.js,4,0,0
1650875564650,4,HomePage-13,200,OK,Task03 1-1,text,true,,30407,545,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,4,0,0
1650875564650,4,HomePage-14,200,OK,Task03 1-1,text,true,,44439,544,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,4,0,0
1650875564651,4,HomePage-15,200,OK,Task03 1-1,text,true,,2731,550,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,4,0,0
1650875564653,11,HomePage-16,200,OK,Task03 1-1,text,true,,2142,541,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,11,0,0
