timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657448972403,22123,Editor1,200,"Number of samples in transaction : 56, number of failing samples : 0",Thread Group 1-1,,true,,4000631,1495525,1,1,null,0,3691459,18
1657448972405,648,Open HomePage,200,OK,Thread Group 1-1,text,true,,326436,11240,1,1,http://localhost/blog/,119,0,2
1657448976923,534,Login,200,OK,Thread Group 1-1,text,true,,63619,30236,1,1,http://localhost/blog/,42,0,0
1657449011761,237,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,40,0,0
1657449060764,167,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,46,0,0
1657449097408,176,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,46,0,0
1657449125891,232,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,60,0,0
1657449151490,385,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,30,0,0
1657449200421,95,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,32,0,1
1657449230693,111,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,42,0,0
1657449275284,76,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,29,0,0
1657449320257,169,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,41,0,0
1657449360976,178,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,47,0,0
1657449415613,160,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,39,0,0
1657449457386,159,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,69,0,0
1657449506363,116,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,62,0,0
1657449563422,852,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,41,0,0
1657449602760,81,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,40,0,0
1657449628190,132,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,44,0,0
1657449659219,199,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,30,0,0
1657449685745,97,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,46,0,0
1657449730012,197,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,66,0,0
1657449753063,129,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,62,0,0
1657449804799,164,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,54,0,0
1657449859197,126,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,67,0,0
1657449907803,150,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,32,0,0
1657449956381,88,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,48,0,0
1657449982830,214,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,46,0,0
1657450023938,111,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,64,0,0
1657450075158,105,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,51,0,0
1657450106467,110,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,58,0,0
1657450128810,105,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,65,0,0
1657450165895,206,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,64,0,0
1657450220688,255,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,102,0,0
1657450242554,216,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,66,0,0
1657450268038,255,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,92,0,0
1657450294019,185,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,101,0,0
1657450350023,2448,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,100,0,0
1657450400504,193,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,96,0,0
1657450450957,297,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,110,0,0
1657450508420,200,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,92,0,0
1657450548252,234,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,105,0,0
1657450583527,128,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,60,0,0
1657450613054,275,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,92,0,0
1657450640164,201,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,99,0,0
1657450680744,469,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,103,0,2
1657452387852,5488,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,5179,0,2
1657452460069,576,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,420,0,4
1657452499065,244,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,119,0,0
1657452533405,1176,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,85,0,2
1657452568007,276,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,140,0,0
1657452603445,274,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,68,0,2
1657452661132,602,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,48114,28085,1,1,http://localhost/blog/2022/05/30/default,252,0,0
